group,name,corpus,project,project path,class with the feature
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.base.Absent
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.base.Converter$IdentityConverter
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.base.Equivalence$Equals
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.base.Equivalence$Identity
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LocalCache$LoadingSerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LocalCache$LoadingSerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LocalCache$ManualSerializationProxy
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LocalCache$ManualSerializationProxy
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LongAdder
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.cache.LongAdder
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.AbstractBiMap$Inverse
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.AbstractBiMap$Inverse
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.AbstractBiMap$Inverse
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.AbstractMapBasedMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.AllEqualOrdering
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ArrayListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ArrayListMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ConcurrentHashMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.ConcurrentHashMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Cut$AboveAll
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.Cut$BelowAll
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.DiscreteDomain$BigIntegerDomain
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.DiscreteDomain$IntegerDomain
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.DiscreteDomain$LongDomain
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EmptyContiguousSet$SerializedForm
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EmptyImmutableListMultimap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EmptyImmutableSetMultimap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumBiMap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumBiMap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumHashBiMap
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumHashBiMap
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.EnumMultiset
serialization,java.io.ObjectOutputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashBiMap$InverseSerializedForm
serialization,java.io.ObjectInputStream#callbacks,xcorpus-extension-20170313,guava-21.0,guava-21.0/project/bin.zip,com.google.common.collect.HashBiMap
